id	level?	var_of_level?	effect1_desc	effect2_desc	effect3_desc?
80	1	1	HP Recovery +0.1	Accuracy +0.8	
81	1	1	HP Recovery +0.1	Critical +7.8	
82	1	1	MP Recovery +0.1	CP Recovery +0.1	
83	1	1	MP Recovery +0.1	Dodge +0.8	
84	1	1	MP Recovery +0.1	Accuracy +0.8	
85	1	1	MP Recovery +0.1	Critical +7.8	
86	1	1	CP Recovery +0.1	Dodge +0.8	
87	1	1	CP Recovery +0.1	Accuracy +0.8	
88	1	1	CP Recovery +0.1	Critical +7.8	
89	1	1	Dodge +0.8	Accuracy +0.8	
90	1	1	Dodge +0.8	Critical +7.8	
91	1	1	Accuracy +0.8	Critical +7.8	
92	1	1	P. Def. +16.3		
93	1	1	M. Def. +13.1		
94	1	1	Maximum HP +64.2		
95	1	1	Maximum MP +20		
96	1	1	Maximum CP +88.6		
97	1	1	P. Atk. +7.4		
98	1	1	M. Atk. +8.5		
99	1	1	HP Recovery +0.3		
100	1	1	MP Recovery +0.1		
101	1	1	CP Recovery +0.3		
102	1	1	Dodge +1.6		
103	1	1	Accuracy +1.6		
104	1	1	Critical +15.5		
105	1	1	P. Def. +8.4	M. Def. +6.3	
106	1	1	P. Def. +8.4	Maximum HP +31	
107	1	1	P. Def. +8.4	Maximum MP +9.6	
108	1	1	P. Def. +8.4	Maximum CP +42.8	
109	1	1	P. Def. +8.4	P. Atk. +3.5	
110	1	1	P. Def. +8.4	M. Atk. +4.1	
111	1	1	P. Def. +8.4	HP Recovery +0.1	
112	1	1	P. Def. +8.4	MP Recovery +0.1	
113	1	1	P. Def. +8.4	CP Recovery +0.1	
114	1	1	P. Def. +8.4	Dodge +0.7	
115	1	1	P. Def. +8.4	Accuracy +0.7	
116	1	1	P. Def. +8.4	Critical +7.4	
117	1	1	M. Def. +6.8	Maximum HP +31	
118	1	1	M. Def. +6.8	Maximum MP +9.6	
119	1	1	M. Def. +6.8	Maximum CP +42.8	
120	1	1	M. Def. +6.8	P. Atk. +3.5	
121	1	1	M. Def. +6.8	M. Atk. +4.1	
122	1	1	M. Def. +6.8	HP Recovery +0.1	
123	1	1	M. Def. +6.8	MP Recovery +0.1	
124	1	1	M. Def. +6.8	CP Recovery +0.1	
125	1	1	M. Def. +6.8	Dodge +0.7	
126	1	1	M. Def. +6.8	Accuracy +0.7	
127	1	1	M. Def. +6.8	Critical +7.4	
128	1	1	Maximum HP +33.2	Maximum MP +9.6	
129	1	1	Maximum HP +33.2	Maximum CP +42.8	
130	1	1	Maximum HP +33.2	P. Atk. +3.5	
131	1	1	Maximum HP +33.2	M. Atk. +4.1	
132	1	1	Maximum HP +33.2	HP Recovery +0.1	
133	1	1	Maximum HP +33.2	MP Recovery +0.1	
134	1	1	Maximum HP +33.2	CP Recovery +0.1	
135	1	1	Maximum HP +33.2	Dodge +0.7	
136	1	1	Maximum HP +33.2	Accuracy +0.7	
137	1	1	Maximum HP +33.2	Critical +7.4	
138	1	1	Maximum MP +10.3	Maximum CP +42.8	
139	1	1	Maximum MP +10.3	P. Atk. +3.5	
140	1	1	Maximum MP +10.3	M. Atk. +4.1	
141	1	1	Maximum MP +10.3	HP Recovery +0.1	
142	1	1	Maximum MP +10.3	MP Recovery +0.1	
143	1	1	Maximum MP +10.3	CP Recovery +0.1	
144	1	1	Maximum MP +10.3	Dodge +0.7	
145	1	1	Maximum MP +10.3	Accuracy +0.7	
146	1	1	Maximum MP +10.3	Critical +7.4	
147	1	1	Maximum CP +45.8	P. Atk. +3.5	
148	1	1	Maximum CP +45.8	M. Atk. +4.1	
149	1	1	Maximum CP +45.8	HP Recovery +0.1	
150	1	1	Maximum CP +45.8	MP Recovery +0.1	
151	1	1	Maximum CP +45.8	CP Recovery +0.1	
152	1	1	Maximum CP +45.8	Dodge +0.7	
153	1	1	Maximum CP +45.8	Accuracy +0.7	
154	1	1	Maximum CP +45.8	Critical +7.4	
155	1	1	P. Atk. +3.8	M. Atk. +4.1	
156	1	1	P. Atk. +3.8	HP Recovery +0.1	
157	1	1	P. Atk. +3.8	MP Recovery +0.1	
158	1	1	P. Atk. +3.8	CP Recovery +0.1	
159	1	1	P. Atk. +3.8	Dodge +0.7	
160	1	1	P. Atk. +3.8	Accuracy +0.7	
161	1	1	P. Atk. +3.8	Critical +7.4	
162	1	1	M. Atk. +4.4	HP Recovery +0.1	
163	1	1	M. Atk. +4.4	MP Recovery +0.1	
164	1	1	M. Atk. +4.4	CP Recovery +0.1	
165	1	1	M. Atk. +4.4	Dodge +0.7	
166	1	1	M. Atk. +4.4	Accuracy +0.7	
167	1	1	M. Atk. +4.4	Critical +7.4	
168	1	1	HP Recovery +0.1	MP Recovery +0.1	
169	1	1	HP Recovery +0.1	CP Recovery +0.1	
170	1	1	HP Recovery +0.1	Dodge +0.7	
171	1	1	HP Recovery +0.1	Accuracy +0.7	
172	1	1	HP Recovery +0.1	Critical +7.4	
173	1	1	MP Recovery +0.1	CP Recovery +0.1	
174	1	1	MP Recovery +0.1	Dodge +0.7	
175	1	1	MP Recovery +0.1	Accuracy +0.7	
176	1	1	MP Recovery +0.1	Critical +7.4	
177	1	1	CP Recovery +0.1	Dodge +0.7	
178	1	1	CP Recovery +0.1	Accuracy +0.7	
179	1	1	CP Recovery +0.1	Critical +7.4	
180	1	1	Dodge +0.8	Accuracy +0.7	
181	1	1	Dodge +0.8	Critical +7.4	
182	1	1	Accuracy +0.8	Critical +7.4	
183	1	1	P. Def. +17.3		
184	1	1	M. Def. +13.9		
185	1	1	Maximum HP +68.6		
186	1	1	Maximum MP +21.6		
187	1	1	Maximum CP +94.8		
188	1	1	P. Atk. +8.3		
189	1	1	M. Atk. +9.5		
190	1	1	HP Recovery +0.4		
191	1	1	MP Recovery +0.1		
192	1	1	CP Recovery +0.4		
193	1	1	Dodge +1.6		
194	1	1	Accuracy +1.6		
195	1	1	Critical +15.5		
196	1	1	P. Def. +8.6	M. Def. +6.9	
197	1	1	P. Def. +8.6	Maximum HP +34.3	
198	1	1	P. Def. +8.6	Maximum MP +10.8	
199	1	1	P. Def. +8.6	Maximum CP +47.4	
200	1	1	P. Def. +8.6	P. Atk. +4.1	
201	1	1	P. Def. +8.6	M. Atk. +4.7	
202	1	1	P. Def. +8.6	HP Recovery +0.2	
203	1	1	P. Def. +8.6	MP Recovery +0.1	
204	1	1	P. Def. +8.6	CP Recovery +0.2	
205	1	1	P. Def. +8.6	Dodge +0.8	
206	1	1	P. Def. +8.6	Accuracy +0.8	
207	1	1	P. Def. +8.6	Critical +7.8	
208	1	1	M. Def. +6.9	Maximum HP +34.3	
209	1	1	M. Def. +6.9	Maximum MP +10.8	
210	1	1	M. Def. +6.9	Maximum CP +47.4	
211	1	1	M. Def. +6.9	P. Atk. +4.1	
212	1	1	M. Def. +6.9	M. Atk. +4.7	
213	1	1	M. Def. +6.9	HP Recovery +0.2	
214	1	1	M. Def. +6.9	MP Recovery +0.1	
215	1	1	M. Def. +6.9	CP Recovery +0.2	
216	1	1	M. Def. +6.9	Dodge +0.8	
217	1	1	M. Def. +6.9	Accuracy +0.8	
218	1	1	M. Def. +6.9	Critical +7.8	
219	1	1	Maximum HP +34.3	Maximum MP +10.8	
220	1	1	Maximum HP +34.3	Maximum CP +47.4	
221	1	1	Maximum HP +34.3	P. Atk. +4.1	
222	1	1	Maximum HP +34.3	M. Atk. +4.7	
223	1	1	Maximum HP +34.3	HP Recovery +0.2	
224	1	1	Maximum HP +34.3	MP Recovery +0.1	
225	1	1	Maximum HP +34.3	CP Recovery +0.2	
226	1	1	Maximum HP +34.3	Dodge +0.8	
227	1	1	Maximum HP +34.3	Accuracy +0.8	
228	1	1	Maximum HP +34.3	Critical +7.8	
229	1	1	Maximum MP +10.8	Maximum CP +47.4	
230	1	1	Maximum MP +10.8	P. Atk. +4.1	
231	1	1	Maximum MP +10.8	M. Atk. +4.7	
232	1	1	Maximum MP +10.8	HP Recovery +0.2	
233	1	1	Maximum MP +10.8	MP Recovery +0.1	
234	1	1	Maximum MP +10.8	CP Recovery +0.2	
235	1	1	Maximum MP +10.8	Dodge +0.8	
236	1	1	Maximum MP +10.8	Accuracy +0.8	
237	1	1	Maximum MP +10.8	Critical +7.8	
238	1	1	Maximum CP +47.4	P. Atk. +4.1	
239	1	1	Maximum CP +47.4	M. Atk. +4.7	
240	1	1	Maximum CP +47.4	HP Recovery +0.2	
241	1	1	Maximum CP +47.4	MP Recovery +0.1	
242	1	1	Maximum CP +47.4	CP Recovery +0.2	
243	1	1	Maximum CP +47.4	Dodge +0.8	
244	1	1	Maximum CP +47.4	Accuracy +0.8	
245	1	1	Maximum CP +47.4	Critical +7.8	
246	1	1	P. Atk. +4.1	M. Atk. +4.7	
247	1	1	P. Atk. +4.1	HP Recovery +0.2	
248	1	1	P. Atk. +4.1	MP Recovery +0.1	
249	1	1	P. Atk. +4.1	CP Recovery +0.2	
250	1	1	P. Atk. +4.1	Dodge +0.8	
251	1	1	P. Atk. +4.1	Accuracy +0.8	
252	1	1	P. Atk. +4.1	Critical +7.8	
253	1	1	M. Atk. +4.7	HP Recovery +0.2	
254	1	1	M. Atk. +4.7	MP Recovery +0.1	
255	1	1	M. Atk. +4.7	CP Recovery +0.2	
256	1	1	M. Atk. +4.7	Dodge +0.8	
257	1	1	M. Atk. +4.7	Accuracy +0.8	
258	1	1	M. Atk. +4.7	Critical +7.8	
259	1	1	HP Recovery +0.2	MP Recovery +0.1	
260	1	1	HP Recovery +0.2	CP Recovery +0.2	
261	1	1	HP Recovery +0.2	Dodge +0.8	
262	1	1	HP Recovery +0.2	Accuracy +0.8	
263	1	1	HP Recovery +0.2	Critical +7.8	
264	1	1	MP Recovery +0.1	CP Recovery +0.2	
265	1	1	MP Recovery +0.1	Dodge +0.8	
266	1	1	MP Recovery +0.1	Accuracy +0.8	
267	1	1	MP Recovery +0.1	Critical +7.8	
268	1	1	CP Recovery +0.2	Dodge +0.8	
269	1	1	CP Recovery +0.2	Accuracy +0.8	
270	1	1	CP Recovery +0.2	Critical +7.8	
271	1	1	Dodge +0.8	Accuracy +0.8	
272	1	1	Dodge +0.8	Critical +7.8	
273	1	1	Accuracy +0.8	Critical +7.8	
274	1	1	P. Def. +17.5		
275	1	1	M. Def. +13.9		
276	1	1	Maximum HP +70		
277	1	1	Maximum MP +22.2		
278	1	1	Maximum CP +96.8		
279	1	1	P. Atk. +8.9		
280	1	1	M. Atk. +10.2		
281	1	1	HP Recovery +0.3		
282	1	1	MP Recovery +0.1		
283	1	1	CP Recovery +0.3		
284	1	1	Dodge +1.5		
285	1	1	Accuracy +1.5		
286	1	1	Critical +16.8		
287	1	1	P. Def. +8.7	M. Def. +6.9	
288	1	1	P. Def. +8.7	Maximum HP +35	
289	1	1	P. Def. +8.7	Maximum MP +11.1	
290	1	1	P. Def. +8.7	Maximum CP +48.4	
291	1	1	P. Def. +8.7	P. Atk. +4.4	
292	1	1	P. Def. +8.7	M. Atk. +5.1	
293	1	1	P. Def. +8.7	HP Recovery +0.1	
294	1	1	P. Def. +8.7	MP Recovery +0.1	
295	1	1	P. Def. +8.7	CP Recovery +0.1	
296	1	1	P. Def. +8.7	Dodge +0.8	
297	1	1	P. Def. +8.7	Accuracy +0.8	
298	1	1	P. Def. +8.7	Critical +8.4	
299	1	1	M. Def. +6.9	Maximum HP +35	
300	1	1	M. Def. +6.9	Maximum MP +11.1	
301	1	1	M. Def. +6.9	Maximum CP +48.4	
302	1	1	M. Def. +6.9	P. Atk. +4.4	
303	1	1	M. Def. +6.9	M. Atk. +5.1	
304	1	1	M. Def. +6.9	HP Recovery +0.1	
305	1	1	M. Def. +6.9	MP Recovery +0.1	
306	1	1	M. Def. +6.9	CP Recovery +0.1	
307	1	1	M. Def. +6.9	Dodge +0.8	
308	1	1	M. Def. +6.9	Accuracy +0.8	
309	1	1	M. Def. +6.9	Critical +8.4	
310	1	1	Maximum HP +35	Maximum MP +11.1	
311	1	1	Maximum HP +35	Maximum CP +48.4	
312	1	1	Maximum HP +35	P. Atk. +4.4	
313	1	1	Maximum HP +35	M. Atk. +5.1	
314	1	1	Maximum HP +35	HP Recovery +0.1	
315	1	1	Maximum HP +35	MP Recovery +0.1	
316	1	1	Maximum HP +35	CP Recovery +0.1	
317	1	1	Maximum HP +35	Dodge +0.8	
318	1	1	Maximum HP +35	Accuracy +0.8	
319	1	1	Maximum HP +35	Critical +8.4	
320	1	1	Maximum MP +11.1	Maximum CP +48.4	
321	1	1	Maximum MP +11.1	P. Atk. +4.4	
322	1	1	Maximum MP +11.1	M. Atk. +5.1	
323	1	1	Maximum MP +11.1	HP Recovery +0.1	
324	1	1	Maximum MP +11.1	MP Recovery +0.1	
325	1	1	Maximum MP +11.1	CP Recovery +0.1	
326	1	1	Maximum MP +11.1	Dodge +0.8	
327	1	1	Maximum MP +11.1	Accuracy +0.8	
328	1	1	Maximum MP +11.1	Critical +8.4	
329	1	1	Maximum CP +48.4	P. Atk. +4.4	
330	1	1	Maximum CP +48.4	M. Atk. +5.1	
331	1	1	Maximum CP +48.4	HP Recovery +0.1	
332	1	1	Maximum CP +48.4	MP Recovery +0.1	
333	1	1	Maximum CP +48.4	CP Recovery +0.1	
334	1	1	Maximum CP +48.4	Dodge +0.8	
335	1	1	Maximum CP +48.4	Accuracy +0.8	
336	1	1	Maximum CP +48.4	Critical +8.4	
337	1	1	P. Atk. +4.4	M. Atk. +5.1	
338	1	1	P. Atk. +4.4	HP Recovery +0.1	
339	1	1	P. Atk. +4.4	MP Recovery +0.1	
340	1	1	P. Atk. +4.4	CP Recovery +0.1	
341	1	1	P. Atk. +4.4	Dodge +0.8	
342	1	1	P. Atk. +4.4	Accuracy +0.8	
343	1	1	P. Atk. +4.4	Critical +8.4	
344	1	1	M. Atk. +5.1	HP Recovery +0.1	
345	1	1	M. Atk. +5.1	MP Recovery +0.1	
346	1	1	M. Atk. +5.1	CP Recovery +0.1	
347	1	1	M. Atk. +5.1	Dodge +0.8	
348	1	1	M. Atk. +5.1	Accuracy +0.8	
349	1	1	M. Atk. +5.1	Critical +8.4	
350	1	1	HP Recovery +0.1	MP Recovery +0.1	
351	1	1	HP Recovery +0.1	CP Recovery +0.1	
352	1	1	HP Recovery +0.1	Dodge +0.8	
353	1	1	HP Recovery +0.1	Accuracy +0.8	
354	1	1	HP Recovery +0.1	Critical +8.4	
355	1	1	MP Recovery +0.1	CP Recovery +0.1	
356	1	1	MP Recovery +0.1	Dodge +0.8	
357	1	1	MP Recovery +0.1	Accuracy +0.8	
358	1	1	MP Recovery +0.1	Critical +8.4	
359	1	1	CP Recovery +0.1	Dodge +0.8	
360	1	1	CP Recovery +0.1	Accuracy +0.8	
361	1	1	CP Recovery +0.1	Critical +8.4	
362	1	1	Dodge +0.8	Accuracy +0.8	
363	1	1	Dodge +0.8	Critical +8.4	
364	1	1	Accuracy +0.8	Critical +8.4	
365	1	1	P. Def. +18.3		
366	1	1	M. Def. +14.7		
367	1	1	Maximum HP +73.6		
368	1	1	Maximum MP +23.5		
369	1	1	Maximum CP +101.6		
370	1	1	P. Atk. +9.7		
371	1	1	M. Atk. +11.2		
372	1	1	HP Recovery +0.3		
373	1	1	MP Recovery +0.1		
374	1	1	CP Recovery +0.3		
375	1	1	Dodge +1.7		
376	1	1	Accuracy +1.7		
377	1	1	Critical +18.8		
378	1	1	P. Def. +9.5	M. Def. +7	
379	1	1	P. Def. +9.5	Maximum HP +35.3	
380	1	1	P. Def. +9.5	Maximum MP +11.2	
381	1	1	P. Def. +9.5	Maximum CP +48.7	
382	1	1	P. Def. +9.5	P. Atk. +4.6	
383	1	1	P. Def. +9.5	M. Atk. +5.4	
384	1	1	P. Def. +9.5	HP Recovery +0.1	
385	1	1	P. Def. +9.5	MP Recovery +0.1	
386	1	1	P. Def. +9.5	CP Recovery +0.1	
387	1	1	P. Def. +9.5	Dodge +0.8	
388	1	1	P. Def. +9.5	Accuracy +0.8	
389	1	1	P. Def. +9.5	Critical +8.9	
390	1	1	M. Def. +7.6	Maximum HP +35.3	
391	1	1	M. Def. +7.6	Maximum MP +11.2	
392	1	1	M. Def. +7.6	Maximum CP +48.7	
393	1	1	M. Def. +7.6	P. Atk. +4.6	
394	1	1	M. Def. +7.6	M. Atk. +5.4	
395	1	1	M. Def. +7.6	HP Recovery +0.1	
396	1	1	M. Def. +7.6	MP Recovery +0.1	
397	1	1	M. Def. +7.6	CP Recovery +0.1	
398	1	1	M. Def. +7.6	Dodge +0.8	
399	1	1	M. Def. +7.6	Accuracy +0.8	
400	1	1	M. Def. +7.6	Critical +8.9	
401	1	1	Maximum HP +38.2	Maximum MP +11.2	
402	1	1	Maximum HP +38.2	Maximum CP +48.7	
403	1	1	Maximum HP +38.2	P. Atk. +4.6	
404	1	1	Maximum HP +38.2	M. Atk. +5.4	
405	1	1	Maximum HP +38.2	HP Recovery +0.1	
406	1	1	Maximum HP +38.2	MP Recovery +0.1	
407	1	1	Maximum HP +38.2	CP Recovery +0.1	
408	1	1	Maximum HP +38.2	Dodge +0.8	
409	1	1	Maximum HP +38.2	Accuracy +0.8	
410	1	1	Maximum HP +38.2	Critical +8.9	
411	1	1	Maximum MP +12.2	Maximum CP +48.7	
412	1	1	Maximum MP +12.2	P. Atk. +4.6	
413	1	1	Maximum MP +12.2	M. Atk. +5.4	
414	1	1	Maximum MP +12.2	HP Recovery +0.1	
415	1	1	Maximum MP +12.2	MP Recovery +0.1	
416	1	1	Maximum MP +12.2	CP Recovery +0.1	
417	1	1	Maximum MP +12.2	Dodge +0.8	
418	1	1	Maximum MP +12.2	Accuracy +0.8	
419	1	1	Maximum MP +12.2	Critical +8.9	
420	1	1	Maximum CP +52.8	P. Atk. +4.6	
421	1	1	Maximum CP +52.8	M. Atk. +5.4	
422	1	1	Maximum CP +52.8	HP Recovery +0.1	
423	1	1	Maximum CP +52.8	MP Recovery +0.1	
424	1	1	Maximum CP +52.8	CP Recovery +0.1	
425	1	1	Maximum CP +52.8	Dodge +0.8	
426	1	1	Maximum CP +52.8	Accuracy +0.8	
427	1	1	Maximum CP +52.8	Critical +8.9	
428	1	1	P. Atk. +5	M. Atk. +5.4	
429	1	1	P. Atk. +5	HP Recovery +0.1	
430	1	1	P. Atk. +5	MP Recovery +0.1	
431	1	1	P. Atk. +5	CP Recovery +0.1	
432	1	1	P. Atk. +5	Dodge +0.8	
433	1	1	P. Atk. +5	Accuracy +0.8	
434	1	1	P. Atk. +5	Critical +8.9	
435	1	1	M. Atk. +5.8	HP Recovery +0.1	
436	1	1	M. Atk. +5.8	MP Recovery +0.1	
437	1	1	M. Atk. +5.8	CP Recovery +0.1	
438	1	1	M. Atk. +5.8	Dodge +0.8	
439	1	1	M. Atk. +5.8	Accuracy +0.8	
440	1	1	M. Atk. +5.8	Critical +8.9	
441	1	1	HP Recovery +0.1	MP Recovery +0.1	
442	1	1	HP Recovery +0.1	CP Recovery +0.1	
443	1	1	HP Recovery +0.1	Dodge +0.8	
444	1	1	HP Recovery +0.1	Accuracy +0.8	
445	1	1	HP Recovery +0.1	Critical +8.9	
446	1	1	MP Recovery +0.1	CP Recovery +0.1	
447	1	1	MP Recovery +0.1	Dodge +0.8	
448	1	1	MP Recovery +0.1	Accuracy +0.8	
449	1	1	MP Recovery +0.1	Critical +8.9	
450	1	1	CP Recovery +0.1	Dodge +0.8	
451	1	1	CP Recovery +0.1	Accuracy +0.8	
452	1	1	CP Recovery +0.1	Critical +8.9	
453	1	1	Dodge +0.9	Accuracy +0.8	
454	1	1	Dodge +0.9	Critical +8.9	
455	1	1	Accuracy +0.9	Critical +8.9	
456	1	1	P. Def. +18.1		
457	1	1	M. Def. +14.6		
458	1	1	Maximum HP +73.5		
459	1	1	Maximum MP +23.5		
460	1	1	Maximum CP +101.5		
461	1	1	P. Atk. +10.1		
462	1	1	M. Atk. +11.7		
463	1	1	HP Recovery +0.4		
464	1	1	MP Recovery +0.1		
465	1	1	CP Recovery +0.4		
466	1	1	Dodge +1.7		
467	1	1	Accuracy +1.7		
468	1	1	Critical +18.8		
469	1	1	P. Def. +9.4	M. Def. +6.9	
470	1	1	P. Def. +9.4	Maximum HP +35.1	
471	1	1	P. Def. +9.4	Maximum MP +11.2	
472	1	1	P. Def. +9.4	Maximum CP +48.5	
473	1	1	P. Def. +9.4	P. Atk. +4.8	
474	1	1	P. Def. +9.4	M. Atk. +5.5	
475	1	1	P. Def. +9.4	HP Recovery +0.1	
476	1	1	P. Def. +9.4	MP Recovery +0.1	
477	1	1	P. Def. +9.4	CP Recovery +0.1	
478	1	1	P. Def. +9.4	Dodge +0.8	
479	1	1	P. Def. +9.4	Accuracy +0.8	
480	1	1	P. Def. +9.4	Critical +8.9	
481	1	1	M. Def. +7.6	Maximum HP +35.1	
482	1	1	M. Def. +7.6	Maximum MP +11.2	
483	1	1	M. Def. +7.6	Maximum CP +48.5	
484	1	1	M. Def. +7.6	P. Atk. +4.8	
485	1	1	M. Def. +7.6	M. Atk. +5.5	
486	1	1	M. Def. +7.6	HP Recovery +0.1	
487	1	1	M. Def. +7.6	MP Recovery +0.1	
488	1	1	M. Def. +7.6	CP Recovery +0.1	
489	1	1	M. Def. +7.6	Dodge +0.8	
490	1	1	M. Def. +7.6	Accuracy +0.8	
491	1	1	M. Def. +7.6	Critical +8.9	
492	1	1	Maximum HP +38.3	Maximum MP +11.2	
493	1	1	Maximum HP +38.3	Maximum CP +48.5	
494	1	1	Maximum HP +38.3	P. Atk. +4.8	
495	1	1	Maximum HP +38.3	M. Atk. +5.5	
496	1	1	Maximum HP +38.3	HP Recovery +0.1	
497	1	1	Maximum HP +38.3	MP Recovery +0.1	
498	1	1	Maximum HP +38.3	CP Recovery +0.1	
499	1	1	Maximum HP +38.3	Dodge +0.8	
500	1	1	Maximum HP +38.3	Accuracy +0.8	
501	1	1	Maximum HP +38.3	Critical +8.9	
502	1	1	Maximum MP +12.3	Maximum CP +48.5	
503	1	1	Maximum MP +12.3	P. Atk. +4.8	
504	1	1	Maximum MP +12.3	M. Atk. +5.5	
505	1	1	Maximum MP +12.3	HP Recovery +0.1	
506	1	1	Maximum MP +12.3	MP Recovery +0.1	
507	1	1	Maximum MP +12.3	CP Recovery +0.1	
508	1	1	Maximum MP +12.3	Dodge +0.8	
509	1	1	Maximum MP +12.3	Accuracy +0.8	
510	1	1	Maximum MP +12.3	Critical +8.9	
511	1	1	Maximum CP +52.9	P. Atk. +4.8	
512	1	1	Maximum CP +52.9	M. Atk. +5.5	
513	1	1	Maximum CP +52.9	HP Recovery +0.1	
514	1	1	Maximum CP +52.9	MP Recovery +0.1	
515	1	1	Maximum CP +52.9	CP Recovery +0.1	
516	1	1	Maximum CP +52.9	Dodge +0.8	
517	1	1	Maximum CP +52.9	Accuracy +0.8	
518	1	1	Maximum CP +52.9	Critical +8.9	
519	1	1	P. Atk. +5.2	M. Atk. +5.5	
520	1	1	P. Atk. +5.2	HP Recovery +0.1	
521	1	1	P. Atk. +5.2	MP Recovery +0.1	
522	1	1	P. Atk. +5.2	CP Recovery +0.1	
523	1	1	P. Atk. +5.2	Dodge +0.8	
524	1	1	P. Atk. +5.2	Accuracy +0.8	
525	1	1	P. Atk. +5.2	Critical +8.9	
526	1	1	M. Atk. +6.1	HP Recovery +0.1	
527	1	1	M. Atk. +6.1	MP Recovery +0.1	
528	1	1	M. Atk. +6.1	CP Recovery +0.1	
529	1	1	M. Atk. +6.1	Dodge +0.8	
530	1	1	M. Atk. +6.1	Accuracy +0.8	
531	1	1	M. Atk. +6.1	Critical +8.9	
532	1	1	HP Recovery +0.2	MP Recovery +0.1	
